Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,1.82,,15,19/04/2023,16/05/2023,Agreement.Promotion.9182255
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,3.12,,27,19/04/2023,16/05/2023,Agreement.Promotion.9182282
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.7,,14,19/04/2023,18/06/2023,Agreement.Promotion.9184856
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.7,,14,17/05/2023,18/06/2023,Agreement.Promotion.9217174
101527670,SOURZ APPLE 70CL 15%,,1.83,,8,17/05/2023,18/06/2023,Agreement.Promotion.9217198
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.18,,18,17/05/2023,18/06/2023,Agreement.Promotion.9217213
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,17/05/2023,18/06/2023,Agreement.Promotion.9217236
101538336,FAMOUS GROUSE WHISKY 35CL 40%,,0.02,,9.5,17/05/2023,18/06/2023,Agreement.Promotion.9217254
101550458,COURVOISIER VS COGNAC 70CL 40%,,1.32,,26,17/05/2023,18/06/2023,Agreement.Promotion.9217274
101557431,JIM BEAM BOURBON 70CL 40%,,2.25,,14,17/05/2023,18/06/2023,Agreement.Promotion.9217289
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.88,,25,17/05/2023,18/06/2023,Agreement.Promotion.9217302
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.6,,20,17/05/2023,18/06/2023,Agreement.Promotion.9217315
108448798,MAKER'S MARK BOURBON WHISKY 70CL (ABV 45%),,2.97,,25,17/05/2023,18/06/2023,Agreement.Promotion.9217360
108599131,SOURZ CHERRY 15% 70CL,,1.83,,8,17/05/2023,18/06/2023,Agreement.Promotion.9217380
110733336,ROKU GIN THE JAPANESE CRAFT GIN 700ML (ABV 43%),,2.61,,25,17/05/2023,18/06/2023,Agreement.Promotion.9217406
110771922,SOURZ PASSION FRUIT 70CL (ABV 15%),,1.83,,8,17/05/2023,18/06/2023,Agreement.Promotion.9217419
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.58,,13,17/05/2023,18/06/2023,Agreement.Promotion.9217441
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,2.47,,20,22/05/2023,18/06/2023,Agreement.Promotion.9463616
