,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
142,CL002,ASD01,FX,,,,Fixed Agreement,7000124196,2020-09-29,1000061722,,2020-09-01,2020-09-01,,,1035.37,0.2,1242.4439999999997,,ASDA Media Partnership Income,Automatic
143,CL002,ASD01,PR,E,,,Volume Agreement,7000124382,2020-09-30,1000056341,50308084.0,2020-09-10,2020-09-30,50165.0,0.3,15049.5,0.2,18059.399999999998,,,Automatic
144,CL002,ASD01,PR,E,,,Volume Agreement,7000124382,2020-09-30,1000056341,50308085.0,2020-09-10,2020-09-30,166674.0,0.3,50002.200000000004,0.2,60002.64,,,Automatic
145,CL002,ASD01,MS,,,,,7000124383,2022-09-15,,,2022-09-15,2022-09-15,,,77.28,0.2,92.736,, Look on image,Automatic
146,CL002,ASD01,PR,E,,,Volume Agreement,7000124395,2020-09-30,1000056586,3937717.0,2020-09-24,2020-09-30,10327.0,0.41,4234.070000000001,0.0,4234.070000000001,,,Automatic
147,CL002,ASD01,PR,E,,,Volume Agreement,7000124395,2020-09-30,1000056586,3944535.0,2020-09-24,2020-09-30,17.0,0.41,6.97,0.0,6.97,,,Automatic
148,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5947259.0,2020-09-16,2020-09-30,3001.0,0.2,600.2,0.0,600.2,,,Automatic
149,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5950682.0,2020-09-16,2020-09-30,5973.0,0.41,2448.9300000000003,0.0,2448.9300000000003,,,Automatic
150,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5950668.0,2020-09-16,2020-09-30,9649.0,0.41,3956.090000000001,0.0,3956.090000000001,,,Automatic
151,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5950675.0,2020-09-16,2020-09-30,9371.0,0.41,3842.1100000000006,0.0,3842.1100000000006,,,Automatic
152,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5947266.0,2020-09-16,2020-09-30,6490.0,0.2,1298.0,0.0,1298.0,,,Automatic
153,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5929038.0,2020-09-16,2020-09-30,8639.0,0.2,1727.8,0.0,1727.8,,,Automatic
154,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5944655.0,2020-09-16,2020-09-30,4150.0,0.2,830.0,0.0,830.0,,,Automatic
155,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5940651.0,2020-09-16,2020-09-30,10631.0,0.57,6059.670000000001,0.0,6059.670000000001,,,Automatic
156,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5929626.0,2020-09-16,2020-09-30,6354.0,0.14,889.5600000000002,0.0,889.5600000000002,,,Automatic
157,CL002,ASD01,PR,E,,,Volume Agreement,7000124416,2020-09-30,1000057543,5934190.0,2020-09-16,2020-09-30,8792.0,0.39,3428.88,0.0,3428.88,,,Automatic
158,CL002,ASD01,FX,,,,Fixed Agreement,7000124484,2020-10-08,1000062502,,2020-10-08,2020-10-08,,,15000.00,0.2,18000.0,,Promotional Funding,Automatic
159,CL002,ASD01,PR,E,,,Volume Agreement,7000124497,2020-10-09,1000054360,5947287.0,2020-10-01,2020-10-07,10669.0,0.42,4480.98,0.0,4480.98,,,Automatic
160,CL002,ASD01,PR,E,,,Volume Agreement,7000124497,2020-10-09,1000054360,5930508.0,2020-10-01,2020-10-07,46961.0,0.42,19723.62,0.0,19723.62,,,Automatic
161,CL002,ASD01,FX,,,,Fixed Agreement,7000124571,2020-09-29,1000061491,,2020-09-01,2020-09-01,,,1110.88,0.2,1333.056,,ASDA Media Partnership Income,Automatic
162,CL002,ASD01,FX,,,,Fixed Agreement,7000124573,2020-09-29,1000061515,,2020-09-01,2020-09-01,,,1965.12,0.2,2358.144,,ASDA Media Partnership Income,Automatic
