Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Item No,Item Desc
CL005,MOR01,110846285,,
CL005,MOR01,110097659,,
CL005,MOR01,112387772,,
CL005,MOR01,111268510,,
CL005,MOR01,104536176,,
CL005,MOR01,105232844,,
CL005,MOR01,109633557,,
CL005,MOR01,108434329,,
CL005,MOR01,112379351,,
CL005,MOR01,110706469,,
CL005,MOR01,110859342,,
CL014,MOR01,110770671,,
CL014,MOR01,111299560,,
CL014,MOR01,112254056,,
CL014,MOR01,110866163,,
CL014,MOR01,111523007,,
CL014,MOR01,112411808,,
CL014,MOR01,109287025,,
CL014,MOR01,102374265,,
CL014,MOR01,112273151,,
CL014,MOR01,107478661,,
