0,1,2,3,4,5,6
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000075648,2550.0,3060.0,Gross Check,,; ;  Look on image
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000117526,2550.0,3060.0,Gross Check,,; ;  Look on image
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000132235,2550.0,3060.0,Gross Check,,; ;  Look on image
ASD01,7000020314,3000.0,3600.0,Gross Check,Digital Marketing,- Search Bundle Leaderboard/MPU (biscuits) / Live: 27.02.20 - 25.03.20 / SP Pladis
ASD01,7000062079,2550.0,3060.0,Gross Check,,; ;  Look on image
ASD01,7000026524,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,
ASD01,7000067508,13020.0,15624.0,Nett Check,Branded Shippers,- Branded Shippers (EG) / Live: 21.05.20 - 27.05.20 / SP Pladis Mini Cheddars Shipper P6 May20
ASD01,7000026524,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES DARK 433G,Gate Fee
ASD01,7000026524,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV DIGESTIVES MILK 433G,Gate Fee
ASD01,7000026524,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,
ASD01,7000128760,13200.0,15840.0,Nett Check,MCV CHOCOLATE HOBNOB MILK 636G,Gate Fee
ASD01,7000026524,12030.0,14436.0,Nett Check,MCV DIGESTIVE SLICES CARAM 5PK,
ASD01,7000128760,13200.0,15840.0,Nett Check,JAFFA CAKE TWIN  244G,Gate Fee
