,Vendor_Name,Retailer_Invoice
20185,MORRISONS,2020939121568
20186,COOP,PCM107210
20187,AMAZON,5800957758
20188,MORRISONS,20232085102507
20189,WAITROSE,4700241336
20190,ICELAND,1802037832
20191,BOOKER,90805098
20192,ASDA,7000090476
20193,MORRISONS,20221519064595
20194,NISA,T294518
20195,COOP,TI01146869
20196,SAINSBURYS,RP3059/U0200/002
20197,SAINSBURYS,RP1530/U0200/003
20198,MORRISONS,2020956110549
20199,MORRISONS,20221699235862
20200,COOP,TI00827331
20201,COOP,TI00845324
20202,ASDA,7000168073
20203,MORRISONS,20232156890222
20204,WAITROSE,4700231302
20205,NISA,T323034
20206,ASDA,7000025802
20207,ASDA,7000064152
20208,TESCO,2100424028
20209,SAINSBURYS,RP3561/U0200/003
20210,WAITROSE,70171258636
20211,COOP,TI00848583
20212,SAINSBURYS,STOCK REVALUATIO
20213,WAITROSE,4700182242
20214,ASDA,7000170728
20215,ICELAND,ADD15593/4521
20216,COSTCO,407804
20217,COOP,TI01142260
20218,COOP,TI01233782
20219,ASDA,7000041926
20220,NISA,CT T289658
20221,ICELAND,ADD16405/2922
20222,COOP,TI01142273
20223,COOP,TI00922292
20224,UNITAS,UNSI0011184
20225,COOP,TI01027325
20226,BOOKER,90698659
20227,COOP,TI01029640
20228,ICELAND,1802096597
20229,WAITROSE,4700234943
20230,NISA,T284567
20231,NISA,T312998
20232,SAINSBURYS,RP8116/003
20233,COOP,TI01246781
20234,MORRISONS,20232261541283
20235,SAINSBURYS,RP6345/U0200/003
20236,TESCO,2100342974
20237,TESCO,2100350473
20238,TESCO,2100264031
20239,TESCO,2100460335
20240,MORRISONS,20211177070181
20241,COOP,TI00937334
20242,MORRISONS,2020850990309
20243,WAITROSE,70171278304
20244,COOP,TI01101263
20245,AMAZON,5800758093
20246,TESCO,2100796153
20247,ASDA,7000022124
20248,WAITROSE,4700048194
20249,ICELAND,361/3122
20250,TESCO,2100816004
20251,SAINSBURYS,RP3409/U0200/002
20252,TESCO,EL112174
20253,COOP,TI00973452
20254,COOP,TI01005720
20255,COOP,TI01025024
20256,WAITROSE,4700132038
20257,MORRISONS,20221990650337
20258,SAINSBURYS,RP9052/U0200/004
20259,WAITROSE,70171303367
20260,COOP,TI00901651
20261,UNITAS,UNSI0010910
20262,COOP,PCM096490
20263,COOP,TI01149688
20264,ICELAND,427/1823
20265,COOP,TI01252590
20266,COOP,TI01113360
20267,MORRISONS,20232110883031
20268,ASDA,7000091799
20269,SAINSBURYS,PD00728338
20270,MORRISONS,2020857707757
20271,COOP,TI00849521
20272,COOP,TI00919489
20273,MANDS,5100388513
20274,BESTWAY,1046781
20275,COOP,TI01095704
20276,ICELAND,364/3822
20277,COOP,TI01095701
20278,COOP,TI01172790
20279,SAINSBURYS,RP8748/U0200/002
20280,SAINSBURYS,RP4275/U0200/004
20281,ICELAND,ADD13795V/4220
20282,BESTWAY,1010602
20283,COOP,TI01177097
20284,MORRISONS,20232338606202
20285,ICELAND,ADD15304/2821
20286,WAITROSE,70171400479
20287,COOP,TI01094430
20288,UNITAS,UNSI0023902
20289,COOP,TI01027308
20290,COOP,TI01195964
20291,TESCO,2100458243
20292,MANDS,5100388791
20293,COOP,TI01058155
20294,MORRISONS,20221898463236
20295,SAINSBURYS,RP912/U0200/001
20296,ASDA,7000144590
20297,TESCO,2100367633
20298,SAINSBURYS,RP7335/U0200/002
20299,SAINSBURYS,SSLWHP000064RR
20300,MORRISONS,2019831897384
20301,MORRISONS,20222065827364
20302,COOP,TI01237075
20303,COOP,TI01277206
20304,SAINSBURYS,RP3706/U0200/002
20305,BOOKER,"6,111.50"
20306,TESCO,2100809844
20307,MORRISONS,20201078898537
20308,COOP,TI00899123
20309,COOP,TI00924555
20310,COOP,TI01199240
20311,TESCO,1002100481976
20312,SAINSBURYS,FD364793 / 01
20313,SAINSBURYS,RP6709/U0200/001
20314,MORRISONS,2019831896716
20315,MORRISONS,20211331052658
20316,COOP,TI00884015
20317,COOP,TI00940356
20318,WAITROSE,4700085892
20319,WAITROSE,7011026641
20320,WAITROSE,4700241350
20321,MORRISONS,20232396984211
20322,ASDA,7000122510
20323,ASDA,7000038289
